Package Name,Class Name,NOF,NOM,NOM+NOF,God Class
org.junit.internal.runners.statements,RunAfters,3,1,4,No
org.junit.internal.runners.statements,RunBefores,3,1,4,No
org.junit.internal.runners.statements,ExpectExceptionTest,0,5,5,No
org.junit.tests,AllTests,0,1,1,No
org.junit.tests,ObjectContractTest,0,3,3,No
org.junit.tests,package-info,0,0,0,No
org.junit.tests,SampleJUnit4Tests,5,12,17,No
org.junit.tests,TestSystem,3,4,7,No
org.junit.runner.notification,Failure,3,8,11,No
org.junit.runner.notification,package-info,0,0,0,No
org.junit.runner.notification,RunListener,0,1,1,No
org.junit.runner.notification,StoppedByUserException,1,0,1,No
org.junit.runner.notification,SynchronizedRunListener,2,4,6,No
org.junit.runner.notification,AllNotificationTests,0,0,0,No
org.junit.runner.notification,ConcurrentRunNotifierTest,9,7,16,No
org.junit.runner.notification,RunNotifierTest,3,8,11,No
org.junit.runner.notification,SynchronizedRunListenerTest,3,15,18,No
org.junit.tests.junit3compatibility,AllJUnit3CompatibilityTests,0,0,0,No
org.junit.tests.junit3compatibility,AllTestsTest,1,6,7,No
org.junit.tests.junit3compatibility,ClassRequestTest,0,1,1,No
org.junit.tests.junit3compatibility,ForwardCompatibilityPrintingTest,0,8,8,No
org.junit.tests.junit3compatibility,InitializationErrorForwardCompatibilityTest,2,10,12,No
org.junit.tests.junit3compatibility,JUnit38ClassRunnerTest,1,16,17,No
org.junit.tests.junit3compatibility,JUnit4TestAdapterTest,0,5,5,No
org.junit.tests.junit3compatibility,OldTestClassAdaptingListenerTest,0,2,2,No
org.junit.tests.junit3compatibility,OldTests,0,1,1,No
org.junit.tests.junit3compatibility,SuiteMethodTest,2,17,19,No
org.junit.matchers,JUnitMatchers,0,10,10,No
org.junit.matchers,package-info,0,0,0,No
org.junit.internal.matchers,StacktracePrintingMatcher,1,5,6,No
org.junit.internal.matchers,ThrowableCauseMatcher,0,5,5,No
org.junit.internal.matchers,ThrowableMessageMatcher,1,5,6,No
org.junit.internal.matchers,TypeSafeMatcher,0,5,5,No
org.junit.internal.matchers,StacktracePrintingMatcherTest,0,1,1,No
org.junit.internal.matchers,ThrowableCauseMatcherTest,0,0,0,No
org.junit.tests.running,AllRunningTests,0,0,0,No
org.junit.experimental.runners,Enclosed,0,1,1,No
org.junit.runners.model,Annotatable,0,0,0,No
org.junit.runners.model,FrameworkField,1,11,12,No
org.junit.runners.model,FrameworkMember,0,3,3,No
org.junit.runners.model,InitializationError,2,4,6,No
org.junit.runners.model,InvalidTestClassError,2,3,5,No
org.junit.runners.model,MemberValueConsumer,0,0,0,No
org.junit.runners.model,MultipleFailureException,2,6,8,No
org.junit.runners.model,NoGenericTypeParametersValidator,1,5,6,No
org.junit.runners.model,RunnerBuilder,0,3,3,No
org.junit.runners.model,RunnerScheduler,0,0,0,No
org.junit.runners.model,Statement,0,0,0,No
org.junit.runners.model,TestTimedOutException,3,3,6,No
org.junit.runners.model,AllModelTests,0,0,0,No
org.junit.runners.model,FrameworkFieldTest,3,1,4,No
org.junit.runners.model,FrameworkMethodTest,1,3,4,No
org.junit.runners.model,InvalidTestClassErrorTest,0,1,1,No
org.junit.runners.model,RunnerBuilderStub,0,0,0,No
org.junit.tests.experimental.parallel,AllParallelTests,0,0,0,No
org.junit.tests.experimental.parallel,ParallelClassTest,6,2,8,No
org.junit.tests.experimental.parallel,ParallelMethodTest,4,3,7,No
org.junit.internal,ArrayComparisonFailure,4,5,9,No
org.junit.internal,AssumptionViolatedException,4,7,11,No
org.junit.internal,Checks,0,3,3,No
org.junit.internal,Classes,0,1,1,No
org.junit.internal,ComparisonCriteria,1,6,7,No
org.junit.internal,ExactComparisonCriteria,0,1,1,No
org.junit.internal,InexactComparisonCriteria,1,3,4,No
org.junit.internal,JUnitSystem,0,0,0,No
org.junit.internal,MethodSorter,1,5,6,No
org.junit.internal,RealSystem,0,2,2,No
org.junit.internal,SerializableMatcherDescription,1,4,5,No
org.junit.internal,SerializableValueDescription,1,3,4,No
org.junit.internal,TextListener,1,12,13,No
org.junit.internal,Throwables,1,19,20,No
org.junit.internal,AllInternalTests,0,0,0,No
org.junit.internal,ArrayComparisonFailureTest,2,0,2,No
org.junit.internal,ChecksTest,0,5,5,No
junit.runner,package-info,0,0,0,No
junit.runner,TestRunListener,0,0,0,No
junit.runner,Version,0,3,3,No
org.junit.runner,Computer,0,3,3,No
org.junit.runner,Describable,0,0,0,No
org.junit.runner,FilterFactories,0,0,0,No
org.junit.runner,FilterFactory,0,1,1,No
org.junit.runner,FilterFactoryParams,2,3,5,No
org.junit.runner,JUnitCommandLineParseResult,3,11,14,No
org.junit.runner,JUnitCore,1,14,15,No
org.junit.runner,OrderWith,0,0,0,No
org.junit.runner,OrderWithValidator,0,1,1,No
org.junit.runner,package-info,0,0,0,No
org.junit.runner,Request,0,13,13,No
org.junit.runner,Runner,0,1,1,No
org.junit.runner,RunWith,0,0,0,No
org.junit.runner,AllRunnerTests,0,0,0,No
org.junit.runner,FilterFactoriesTest,3,8,11,No
org.junit.runner,JUnitCommandLineParseResultTest,2,3,5,No
org.junit.runner,JUnitCoreTest,0,1,1,No
org.junit.runner,MainRunner,0,2,2,No
org.junit.runner,OrderWithValidatorTest,1,4,5,No
org.junit.runner,RequestTest,0,2,2,No
org.junit.runner,RunnerSpy,2,6,8,No
org.junit,After,0,0,0,No
org.junit,AfterClass,0,0,0,No
org.junit,Assume,0,10,10,No
org.junit,AssumptionViolatedException,1,4,5,No
org.junit,Before,0,0,0,No
org.junit,BeforeClass,0,0,0,No
org.junit,ClassRule,0,0,0,No
org.junit,FixMethodOrder,0,0,0,No
org.junit,Ignore,0,0,0,No
org.junit,package-info,0,0,0,No
org.junit,Rule,0,0,0,No
org.junit,Test,1,1,2,No
org.junit,TestCouldNotBeSkippedException,1,1,2,No
junit.samples,AllTests,0,2,2,No
junit.samples,ListTest,2,7,9,No
junit.samples,package-info,0,0,0,No
junit.samples,SimpleTest,3,6,9,No
org.junit.tests.experimental.max,AllMaxTests,0,0,0,No
org.junit.tests.experimental.max,DescriptionTest,0,5,5,No
org.junit.tests.experimental.max,JUnit38SortingTest,2,7,9,No
org.junit.experimental.theories,Theories,6,17,23,Yes
org.junit.tests.running.methods,AnnotationTest,4,96,100,Yes
org.junit.tests.running.methods,ParameterizedTestMethodTest,1,33,34,Yes
org.junit.tests.running.methods,TestMethodTest,0,41,41,Yes
org.junit.tests.running.methods,TimeoutTest,4,21,25,Yes
org.junit.samples.money,MoneyTest,6,25,31,Yes
org.junit.tests.experimental.theories.runner,FailingDataPointMethods,6,18,24,Yes
org.junit.tests.experimental.theories.runner,SuccessfulWithDataPointFields,22,20,42,Yes
org.junit.tests.experimental.theories.runner,UnsuccessfulWithDataPointFields,13,21,34,Yes
org.junit.tests.experimental.theories.runner,WithExtendedParameterSources,10,18,28,Yes
org.junit.tests.experimental.theories.runner,WithUnresolvedGenericTypeVariablesOnTheoryParms,6,19,25,Yes
org.junit.experimental.categories,Categories,2,24,26,Yes
org.junit.experimental.categories,CategoryTest,0,47,47,Yes
org.junit.experimental.categories,MultiCategoryTest,0,37,37,Yes
org.junit.tests.manipulation,OrderableTest,4,39,43,Yes
org.junit.tests.manipulation,OrderWithTest,3,33,36,Yes
org.junit.tests.manipulation,SingleMethodTest,1,21,22,Yes
org.junit.tests.manipulation,SortableTest,4,42,46,Yes
org.junit.tests.experimental.theories.internal,AllMembersSupplierTest,7,14,21,Yes
org.junit.tests.experimental,AssumptionTest,6,38,44,Yes
org.junit.rules,TemporaryFolder,7,13,21+,Yes
org.junit.rules,Timeout,6,17,23,Yes
org.junit.rules,ClassRulesTest,12,45,57,Yes
org.junit.rules,ErrorCollectorTest,19,23,42,Yes
org.junit.rules,EventCollector,7,17,24,Yes
org.junit.rules,ExpectedExceptionTest,26,25,51,Yes
org.junit.rules,MethodRulesTest,14,54,68,Yes
org.junit.rules,RuleMemberValidatorTest,10,34,44,Yes
org.junit.rules,StopwatchTest,6,23,29,Yes
org.junit.rules,TempFolderRuleTest,10,9,21+,Yes
org.junit.rules,TestRuleTest,32,78,110,Yes
org.junit.rules,TestWatcherTest,20,43,63,Yes
org.junit.tests.running.classes,ClassLevelMethodsWithIgnoredTestsTest,2,13,21+,Yes
org.junit.tests.running.classes,ParameterizedTestTest,23,110,133,Yes
org.junit.tests.running.classes,ParentRunnerTest,11,24,35,Yes
junit.tests.framework,TestCaseTest,1,40,41,Yes
org.junit.internal.runners,JUnit38ClassRunner,2,22,24,Yes
junit.framework,Assert,0,39,39,Yes
junit.framework,TestCase,1,47,48,Yes
junit.framework,TestResult,6,19,25,Yes
junit.framework,TestSuite,2,26,28,Yes
org.junit.runners,BlockJUnit4ClassRunner,3,27,30,Yes
org.junit.runners,ParentRunner,4,36,40,Yes
org.junit.internal.runners.rules,RuleMemberValidator,4,18,22,Yes
junit.samples.money,MoneyTest,6,24,30,Yes
org.junit.tests.assertion,AssertionTest,4,106,110,Yes
org.junit.internal.runners.statements,FailOnTimeout,10,14,24,Yes
org.junit.internal.runners.statements,FailOnTimeoutTest,8,14,22,Yes
org.junit.runner.notification,RunNotifier,3,23,26,Yes
org.junit.tests.junit3compatibility,ForwardCompatibilityTest,5,34,39,Yes
org.junit.runners.model,FrameworkMethod,1,20,21,Yes
org.junit.runners.model,TestClass,4,21,25,Yes
org.junit.runners.model,TestClassTest,6,27,33,Yes
org.junit.internal,MethodSorterTest,8,33,41,Yes
org.junit.internal,StackTracesTest,5,27,32,Yes
junit.runner,BaseTestRunner,4,23,27,Yes
org.junit.runner,Description,7,27,34,Yes
org.junit.runner,Result,15,13,28,Yes
org.junit.runner,FilterOptionIntegrationTest,4,18,22,Yes
org.junit,Assert,0,47,47,Yes
org.junit,ComparisonFailure,12,14,26,Yes
org.junit,AssumptionViolatedExceptionTest,8,12,21+,Yes
org.junit.tests.experimental.max,MaxStarterTest,3,29,32,Yes
